s_no,continent ,river ,length_km,length_miles,drainage_area,average_discharge ,outflow 
1,South America,Amazon,"6,400","3,976","6,112,000","209,000",Atlantic Ocean
2,Africa,Congo (Zaire),"4,370","2,716","4,014,500","41,200",Atlantic Ocean
3,Asia,Ganges-Brahmaputra/Meghna,"2,704","1,680","1,731,334","38,129",Indian Ocean
4,South America,Orinoco,"2,250","1,398","989,000","37,740",Atlantic Ocean
5,South America,GuainÃ­a/Negro,"2,230","1,390","691,000","35,943",Amazon River
6,South America,Madeira,"1,450",900,"1,376,000","31,200",Amazon River
7,Asia,Yangtze,"6,300","3,915","1,808,500","30,146",Pacific Ocean
8,South America,RÃ­o de la Plata,290,180,"3,182,064","27,225",Atlantic Ocean
9,Asia,Brahmaputra,"2,937","1,823","651,334","19,824",Padma
10,Asia,Yenisei,"3,438","2,136","2,580,000","19,800",Arctic Ocean
11,South America,ParanÃ¡,"4,880","3,050","2,582,672","19,706",RÃ­o de la Plata
12,Asia,Ganga (Ganges),"2,600","1,565","1,125,000","18,691",Padma River
13,North America,Mississippi,"3,766","2,340","3,248,000","18,434",Atlantic Ocean
14,South America,JapurÃ¡ (CaquetÃ¡),"2,036","1,265","267,730","18,122",Amazon River
15,Asia,Lena,"4,294","2,668","2,490,000","17,067",Arctic Ocean
16,North America,Saint Lawrence,"3,058","1,900","1,344,200","16,800",Atlantic Ocean
17,South America,MaraÃ±Ã³n,"1,737","1,079","358,000","16,708",Amazon River
18,Asia,Mekong,"4,023","2,500","811,000","16,000",Pacific Ocean
19,Asia,Irrawaddy (Ayeyarwady),"2,210","1,370","411,000","15,112",Indian Ocean
20,South America,TapajÃ³s,840,520,"492,481","13,540",Amazon River
21,South America,Ucayali,"2,670","1,659","351,549","13,385",Amazon River
22,Asia,Ob,"3,697","2,299","2,990,000","12,692",Arctic Ocean
23,South America,Tocantins,"2,699","1,677","764,183","11,796",ParÃ¡
24,Asia,Amur,"4,352","2,714","1,855,000","11,330",Pacific Ocean
25,Africa,Kasai (Kwa),"2,272","1,405","881,890","11,318",Congo River
26,South America,Purus,"3,211","1,995","371,042","10,970",Amazon River
27,North America,Mackenzie,"1,738","1,080","1,790,000","10,338",Arctic Ocean
28,South America,Xingu,"2,240","1,392","531,250","9,680",Amazon River
29,Asia,Pearl (Xi),"2,400","1,491","437,000","9,500",South China Sea
30,South America,Madre de Dios,"1,347",837,"282,000","9,350",Madeira River
31,South America,Putumayo (IÃ§Ã¡),"1,813","1,121","148,000","8,520",Amazon River
32,Europe,Volga,"3,531","2,194","1,380,000","8,220",Caspian Sea
33,South America,MamorÃ©,"1,930","1,199","611,800","8,150",Madeira River
34,North America,Ohio,"1,579",981,"490,601","7,957",[note 1]
35,South America,Guaviare,"1,497",930,"140,000","7,529",Orinoco River
36,North America,Columbia,"2,044","1,243","668,217","7,504",Pacific Ocean
37,Oceania,Fly,"1,060",649,"76,000","7,500",Pacific Ocean
38,South America,Magdalena,"1,540",963,"257,438","7,200",Atlantic Ocean
39,South America,Uruguay,"1,838","1,140","353,451","7,058",RÃ­o de la Plata
40,Oceania,Sepik,"1,146",700,"80,321","7,000",Pacific Ocean
41,South America,Napo,"1,075",665,"100,518","6,660",Amazon River
42,Asia,Salween,"2,815","1,749","320,000","6,600",Indian Ocean
43,Europe,Danube,"2,860","1,777","801,463","6,546",Atlantic Ocean
44,Asia,Kapuas,"1,143",710,"98,749","6,500",Pacific Ocean
45,North America,Yukon,"3,187","1,980","854,696","6,428",Pacific Ocean
46,South America,Araguaia,"2,627","1,632","377,000","6,420",Tocantins River
47,South America,JuruÃ¡,"3,283","1,498","186,000","6,004",Amazon River
48,Africa,Ubangi (Oubangui),"2,272","1,405","651,915","5,936",Congo River
49,South America,Meta,"1,200",742,"93,800","5,694",Orinoco River
50,South America,Essequibo,"1,014",627,"150,769","5,650",Atlantic Ocean
51,Africa,Niger,"4,167","2,589","2,090,000","5,589",Atlantic Ocean
52,Asia,Indus,"3,180","2,000","1,081,718","5,533",Indian Ocean
53,Oceania,Mamberamo,"1,175",727,"78,992","5,500",Pacific Ocean
54,Asia,Barito,"1,090",550,"81,675","5,497",Pacific Ocean
55,Asia,Aldan,"2,273","1,412","729,000","5,489",Lena River
56,South America,Branco,775,479,"195,000","5,400",Rio Negro
57,North America,Detroit,44,28,"1,800","5,300",Lake Erie
58,Asia,Mahakam,980,609,"77,095","5,000",Pacific Ocean
59,South America,CaronÃ­,952,595,"95,000","4,981",Orinoco
60,Africa,OgoouÃ© (Ogowe),"1,200",747,"223,856","4,935",Atlantic Ocean
61,South America,Paraguay,"2,621","1,629","1,120,154","4,696",Parana River
62,Asia,Chindwin,"1,207",750,"114,000","4,636",Irrawaddy (Ayeyarwady) River
63,South America,Javari,"1,184",732,"98,366","4,545",Amazon River
64,Europe,Pechora,"1,809","1,124","289,532","4,533",Arctic Ocean
65,Asia,Angara,"1,779","1,100","1,079,000","4,530",Yenisei River
